ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy,Alignment,Morphemes,Note
Matses-178_wormieearthworm-1,,Matses,178_wormieearthworm,nuen,nuen,n u e n,,fleck2005,1519,,,,0,n u - - e n,worm,
Matis-178_wormieearthworm-1,,Matis,178_wormieearthworm,nuen,nuen,n u e n,,fleck2005,1519,,,,0,n u - - e n,worm,
Marubo-178_wormieearthworm-1,,Marubo,178_wormieearthworm,nuin,nuin,n u i n,,fleck2005,1519,,,,0,n u - - i n,worm,
Katukina-178_wormieearthworm-1,,Katukina,178_wormieearthworm,noin,noin,n o i n,,aguiar1994,1519,,,,0,n o - - i n,worm,
Shipibo_Konibo-178_wormieearthworm-1,,Shipibo_Konibo,178_wormieearthworm,nuin,nuin,n u i n,,fleck2005,1519,,,,0,n u - - i n,worm,
Kapanawa-178_wormieearthworm-1,,Kapanawa,178_wormieearthworm,nuin,nuin,n u i n,,loos1998,1519,,,,0,n u - - i n,worm,
Arara-178_wormieearthworm-1,,Arara,178_wormieearthworm,nũĩ,nũĩ,n ũ ĩ,,cunha1993,1519,,,,0,n ũ - - ĩ -,worm,
Shanenawa-178_wormieearthworm-1,,Shanenawa,178_wormieearthworm,nuin,nuin,n u i n,,lanes2005,1519,,,,0,n u - - i n,worm,
Yawanawa-178_wormieearthworm-1,,Yawanawa,178_wormieearthworm,nuwĩ,nuwĩ,n u w ĩ,,paula1992,1519,,,,0,n u - w ĩ -,worm,
Nukini-178_wormieearthworm-1,,Nukini,178_wormieearthworm,nũĩ,nũĩ,n ũ ĩ,,aguiar2004,1519,,,,0,n ũ - - ĩ -,worm,
Poyanawa-178_wormieearthworm-1,,Poyanawa,178_wormieearthworm,nũĩ,nũĩ,n ũ ĩ,,paula1992,1519,,,,0,n ũ - - ĩ -,worm,
Iskonawa-178_wormieearthworm-1,,Iskonawa,178_wormieearthworm,nũĩ,nũĩ,n ũ ĩ,,zariquiey2017,1519,,,,0,n ũ - - ĩ -,worm,
Chakobo-178_wormieearthworm-1,,Chakobo,178_wormieearthworm,nũĩ,nũĩ,n ũ ĩ,,zingg1998,1519,,,,0,n ũ - - ĩ -,worm,
Pakawara-178_wormieearthworm-1,,Pakawara,178_wormieearthworm,nuin,nuin,n u i n,,key2000,1519,,,,0,n u - - i n,worm,
Kakataibo-178_wormieearthworm-1,,Kakataibo,178_wormieearthworm,nuin,nuin,n u i n,,zariquiey2017,1519,,,,0,n u - - i n,worm,
Kaxarari-178_wormieearthworm-1,,Kaxarari,178_wormieearthworm,nuli,nuli,n u i l,,couto2005,1519,,,,0,n u - - !l/i !i/l,worm,
Mastanawa-178_wormieearthworm-1,,Mastanawa,178_wormieearthworm,nũĩ,nũĩ,n ũ ĩ,,zariquiey2017,1519,,,,0,n ũ - - ĩ -,worm,
Chaninawa-178_wormieearthworm-1,,Chaninawa,178_wormieearthworm,nũĩ,nũĩ,n ũ ĩ,,zariquiey2017,1519,,,,0,n ũ - - ĩ -,worm,
Sharanawa-178_wormieearthworm-1,,Sharanawa,178_wormieearthworm,nũĩ,nũĩ,n ũ ĩ,,zariquiey2017,1519,,,,0,n ũ - - ĩ -,worm,
Amawaka-178_wormieearthworm-1,,Amawaka,178_wormieearthworm,nuʔin,nuʔin,n u ʔ i n,,zariquiey2017,1519,,,,0,n u ʔ - i n,worm,
Nawa-178_wormieearthworm-1,,Nawa,178_wormieearthworm,nuwi,nuwi,n u w i,,zariquiey2017,1519,,,,0,n u - w i -,worm,
Marinawa-178_wormieearthworm-1,,Marinawa,178_wormieearthworm,unwɨ,unwɨ,n u w ɨ,,zariquiey2017,1519,,,,32,!u/n !n/u - w ɨ -,worm,
Yaminawa-178_wormieearthworm-1,,Yaminawa,178_wormieearthworm,nũmi,nũmi,n ũ m i,,zariquiey2017,1519,,,,0,n ũ - m i -,worm,
Kashinawa_P-178_wormieearthworm-1,,Kashinawa_P,178_wormieearthworm,nuin,nuin,n u i n,,zariquiey2017,1519,,,,0,n u - - i n,worm,
Kashinawa_B-178_wormieearthworm-1,,Kashinawa_B,178_wormieearthworm,nuin,nuin,n u i n,,camargo1995,1519,,,,0,n u - - i n,worm,
Matses-57_grass-1,,Matses,57_grass,wasin,wasin,w a s i n,,fleck2005,508,,,,0,- w a s i n,grass/wasi,
Matis-57_grass-1,,Matis,57_grass,wesin,wesin,w e s i n,,fleck2005,508,,,,0,- w e s i n,grass/wasi,
Marubo-57_grass-1,,Marubo,57_grass,wasi,wasi,w a s i,,fleck2005,508,,,,0,- w a s i -,grass/wasi,
Shipibo_Konibo-57_grass-1,,Shipibo_Konibo,57_grass,wasi,wasi,w a s i,,fleck2005,508,,,,0,- w a s i -,grass/wasi,
Kapanawa-57_grass-1,,Kapanawa,57_grass,wasi,wasi,w a s i,,loos1998,508,,,,0,- w a s i -,grass/wasi,
Shanenawa-57_grass-1,,Shanenawa,57_grass,wasi,wasi,w a s i,,lanes2005,508,,,,0,- w a s i -,grass/wasi,
