item                                     mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
treeLikelihood.straight                  -50.5211 0.01943  0.878209 -50.4288 -52.2867 -49.0080 17627.47 2042.833 NaN     
treeLikelihood.suck                      -31.5185 0.014001 0.707733 -31.4247 -32.9049 -30.3074 14093.88 2555.008 NaN     
treeLikelihood.sun                       -30.9099 0.012914 0.759521 -30.7899 -32.3453 -29.6463 10410.12 3459.130 NaN     
treeLikelihood.swell                     -47.8385 0.012255 0.665707 -47.7615 -49.1119 -46.6691 12202.79 2950.963 NaN     
treeLikelihood.swim                      -57.1666 0.017418 0.966664 -57.0589 -59.0646 -55.3035 11692.07 3079.864 NaN     
treeLikelihood.tail                      -29.3833 0.012867 0.647611 -29.3071 -30.6035 -28.2525 14215.82 2533.091 NaN     
treeLikelihood.they                      -39.5911 0.022972 1.178633 -39.5364 -41.7519 -37.0435 13678.90 2632.520 NaN     
treeLikelihood.thick                     -55.0881 0.019085 1.040962 -55.0752 -56.9616 -52.9148 12103.74 2975.113 NaN     
treeLikelihood.thin                      -85.0770 0.03042  1.353403 -85.1171 -87.5431 -82.3622 18192.83 1979.351 NaN     
treeLikelihood.think                     -9.31753 0.008625 0.499788 -9.20996 -10.3134 -8.59592 10725.15 3357.528 NaN     
treeLikelihood.this                      -28.3337 0.012337 0.719558 -28.2431 -29.7246 -27.1522 10585.68 3401.763 NaN     
treeLikelihood.thou                      -1.03939 0.01811  0.883139 -0.80797 -2.68579 -0.00364 15142.18 2378.125 NaN     
treeLikelihood.throw                     -45.7341 0.022251 1.101088 -45.6756 -47.9125 -43.6013 14704.91 2448.841 NaN     
treeLikelihood.tie                       -11.4729 0.01013  0.600319 -11.3682 -12.6445 -10.4794 10252.72 3512.235 NaN     
treeLikelihood.tongue                    -1.00902 0.016747 0.838936 -0.80431 -2.67092 -0.00424 14348.77 2509.621 NaN     
treeLikelihood.tooth                     -21.7390 0.015568 0.800549 -21.5909 -23.3560 -20.4470 13617.42 2644.405 NaN     
treeLikelihood.tree                      -35.1510 0.016836 0.927544 -35.0024 -37.0251 -33.5255 11864.04 3035.220 NaN     
treeLikelihood.turn_intr                 -56.9028 0.012129 0.665113 -56.8238 -58.2465 -55.8175 11976.08 3006.825 NaN     
treeLikelihood.two                       -10.9346 0.01247  0.74088  -10.7912 -12.3264 -9.78534 10200.85 3530.095 NaN     
treeLikelihood.vomit                     -24.7626 0.010761 0.626856 -24.6829 -25.8528 -23.6748 10612.06 3393.307 NaN     
treeLikelihood.walk                      -39.2339 0.015604 0.914847 -39.1243 -41.0371 -37.6865 10476.37 3437.258 NaN     
treeLikelihood.warm_hot                  -46.0348 0.015096 0.840798 -45.9344 -47.5947 -44.5067 11608.11 3102.140 NaN     
treeLikelihood.wash                      -47.0649 0.014381 0.838125 -46.9925 -48.6291 -45.4601 10602.46 3396.380 NaN     
treeLikelihood.water                     -61.2227 0.017434 0.963686 -61.1412 -63.1819 -59.4285 11785.47 3055.455 NaN     
treeLikelihood.we                        -7.34595 0.009728 0.541149 -7.16182 -8.53355 -6.73345 11637.48 3094.311 NaN     
treeLikelihood.wet                       -27.9248 0.010515 0.590557 -27.8460 -29.0014 -26.9121 11416.50 3154.206 NaN     
treeLikelihood.what                      -17.8879 0.010417 0.599534 -17.7810 -19.1085 -17.0468 10871.94 3312.195 NaN     
treeLikelihood.when                      -25.5333 0.010334 0.585937 -25.4374 -26.6321 -24.5379 11200.65 3214.991 NaN     
treeLikelihood.where                     -61.9355 0.015078 0.848524 -61.8426 -63.6653 -60.3829 11371.19 3166.773 NaN     
treeLikelihood.white                     -27.6214 0.011478 0.614436 -27.5435 -28.6889 -26.5554 12566.27 2865.606 NaN     
treeLikelihood.who                       -8.63429 0.009642 0.50574  -8.53014 -9.54681 -7.91854 13088.28 2751.314 NaN     
treeLikelihood.wide                      -47.1743 0.016409 0.909966 -47.1474 -48.9499 -45.4116 11709.08 3075.389 NaN     
treeLikelihood.wife                      -32.6562 0.012712 0.743112 -32.5290 -34.1095 -31.4257 10537.24 3417.402 NaN     
treeLikelihood.wind                      -49.3470 0.013518 0.723666 -49.2887 -50.7798 -47.9988 12566.10 2865.645 NaN     
treeLikelihood.wing                      -22.7324 0.012112 0.639691 -22.6462 -23.9989 -21.6706 12908.60 2789.611 NaN     
treeLikelihood.wipe                      -57.7579 0.018013 0.926356 -57.7045 -59.5933 -55.9949 13615.76 2644.728 NaN     
treeLikelihood.woman                     -38.7647 0.01178  0.700345 -38.6990 -40.1584 -37.4969 10188.50 3534.374 NaN     
treeLikelihood.woods                     -14.5231 0.009779 0.568061 -14.4566 -15.5618 -13.5118 10672.29 3374.155 NaN     
treeLikelihood.worm_ie                   -0.99880 0.01748  0.843985 -0.78921 -2.57039 -0.01525 15446.29 2331.302 NaN     
treeLikelihood.ye_you                    -22.8970 0.0147   0.774862 -22.8357 -24.5408 -21.3906 12960.97 2778.340 NaN     
treeLikelihood.year                      -26.1044 0.01188  0.668106 -26.0210 -27.4014 -25.0311 11386.34 3162.559 NaN     
treeLikelihood.yellow                    -43.8458 0.01803  0.985646 -43.6686 -46.0497 -42.2522 12049.76 2988.440 NaN     
Tree.t:tree.height                       1795.405 5.140928 214.6921 1772.715 1390.570 2220.991 20647.80 1744.010 1782.931
Tree.t:tree.treeLength                   15254.65 35.15183 1398.544 15159.09 12612.41 18037.78 22749.21 1582.912 15191.67
mutationRate.s:I                         0.12994  0.003428 0.170722 0.068977 0.000228 0.462405 14518.02 2480.365 0.064315
mutationRate.s:all                       5.709004 0.072369 3.683571 4.724364 0.949914 13.14458 13899.33 2590.770 4.695133
mutationRate.s:animal                    1.321543 0.018162 0.980552 1.012062 0.173005 3.271778 12354.60 2914.701 1.032169
mutationRate.s:ashes                     0.363063 0.00671  0.366311 0.23143  0.01765  1.128262 12082.59 2980.319 0.232771
mutationRate.s:back_of                   0.9848   0.012014 0.645129 0.797595 0.168937 2.316285 12487.64 2883.650 0.828089
mutationRate.s:bad                       1.72873  0.023142 1.115545 1.404277 0.352029 4.020485 15497.29 2323.632 1.465993
mutationRate.s:bark_of                   2.345355 0.021926 0.92215  2.176996 0.802195 4.192326 20358.17 1768.822 2.177829
mutationRate.s:belly                     2.383597 0.025248 1.330205 2.008588 0.653657 5.233137 12972.57 2775.855 2.090507
