item                                        mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
mutationRate.s:die                          2.587592 0.029593 1.602289 2.195637 0.411222 5.677026 12283.61 2931.548 2.139685
mutationRate.s:dig                          7.843082 0.098931 4.69584  7.000519 1.452442 15.61710 15983.14 2252.998 6.845674
mutationRate.s:dirty                        3.620102 0.049086 2.216303 3.085453 0.628208 8.107188 17663.48 2038.669 3.042385
mutationRate.s:dog                          3.512958 0.039525 1.879656 3.065745 0.898643 7.277841 15922.78 2261.538 3.086033
mutationRate.s:drink                        1.280817 0.01845  0.990362 0.944441 0.194132 3.408551 12497.45 2881.386 1.015203
mutationRate.s:dry                          4.306212 0.049919 2.427285 3.832159 0.816154 9.051051 15230.59 2364.320 3.657151
mutationRate.s:dull                         1.009806 0.018329 0.921231 0.652163 0.096555 2.881449 14254.98 2526.133 0.712047
mutationRate.s:dust                         2.394873 0.026383 1.199425 2.174221 0.544218 4.804959 17423.27 2066.776 2.119783
mutationRate.s:ear                          0.804213 0.012156 0.614499 0.680244 0.033928 1.945753 14091.64 2555.415 0.572988
mutationRate.s:earth                        0.618528 0.00869  0.422441 0.533518 0.045375 1.405291 15238.04 2363.163 0.487164
mutationRate.s:eat                          0.128348 0.003379 0.16216  0.069328 0.000458 0.468034 15633.14 2303.438 0.064009
mutationRate.s:egg                          0.666394 0.010865 0.544429 0.488846 0.047221 1.751581 14341.26 2510.936 0.485446
mutationRate.s:eye                          0.415588 0.006729 0.344474 0.331035 0.016477 1.086852 13741.68 2620.494 0.288143
mutationRate.s:fall                         1.106128 0.015248 0.701825 0.991295 0.087674 2.46905  16997.20 2118.583 0.880032
mutationRate.s:far                          2.535545 0.033314 1.626785 2.168243 0.384462 5.811788 15101.75 2384.491 2.078609
mutationRate.s:fat                          0.513263 0.008532 0.443811 0.381692 0.01554  1.374638 13308.86 2705.714 0.351711
mutationRate.s:father                       0.995273 0.017531 0.85207  0.683455 0.116458 2.779369 15243.41 2362.331 0.745167
mutationRate.s:fear                         1.467145 0.015262 0.693941 1.349136 0.39283  2.78878  17417.68 2067.438 1.322131
mutationRate.s:feather                      2.579536 0.030021 1.046299 2.461647 0.662405 4.764489 29646.15 1214.660 2.356581
